index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5694,( / ( - ( + v0 v1 ) 162 ) 64 ),(/ (+ v1 (+ v0 -162)) 64),true,(/ (+ v1 (+ v0 -162)) 64),-1,5,20,0,0.000283181,Saturation,,( / ( - ( + v0 v1 ) 162 ) 64 ),2.0
5695,( / ( - v0 v1 ) 8 ),(/ (- v0 v1) 8),true,(/ (- v0 v1) 8),-1,3,10,0,0.000159691,Saturation,,( / ( - v0 v1 ) 8 ),10.0
5696,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v3 v4 ) 98 ) 16 ) ( + ( / ( - ( + ( min v3 8 ) v4 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v3 v4 ) 14 ) 16 ) ( / ( - ( + ( min v3 8 ) v4 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ),(max (min v0 (+ (+ v1 (* 8 (/ (- v0 v1) 8))) 7)) (+ 2 (max (* 2 v2) (+ 5 (/ (min (+ (+ v3 v4) -98) (+ (+ (+ v4 (min 8 v3)) -8) (* (/ (- (/ (+ (+ v3 v4) 14) 16) (/ (+ (+ v4 (min 8 v3)) -8) 16)) 8) 128))) 16))))),true,(max (min v0 (+ (+ v1 (* 8 (/ (- v0 v1) 8))) 7)) (+ 2 (max (* 2 v2) (+ 5 (/ (min (+ (+ v3 v4) -98) (+ (+ (+ v4 (min 8 v3)) -8) (* (/ (- (/ (+ (+ v3 v4) 14) 16) (/ (+ (+ v4 (min 8 v3)) -8) 16)) 8) 128))) 16))))),-1,82,97729,3221,5.008040207999999,Time Limit : 5.003059671,,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v3 v4 ) 98 ) 16 ) ( + ( / ( - ( + ( min v3 8 ) v4 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v3 v4 ) 14 ) 16 ) ( / ( - ( + ( min v3 8 ) v4 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ),22.0
5697,( + v0 ( * ( + v1 v2 ) ( + v3 1 ) ) ),(+ v0 (* (+ v1 v2) (+ v3 1))),true,(+ v0 (* (+ v1 v2) (+ v3 1))),-1,8,233,85,0.0024789139999999996,Saturation,,( + ( * ( + v2 v1 ) ( + v3 1 ) ) v0 ),5.0
5698,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v4 v5 ) 50 ) 8 ) ( + ( / v5 8 ) ( * ( / ( - ( / ( + ( + v4 v5 ) 6 ) 8 ) ( / v5 8 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ),(max (min v0 (+ (+ v1 (* 8 (/ (- v0 v1) 8))) 7)) (+ 2 (max (* (min v2 (+ 7 (+ v3 (* 8 (/ (- v2 v3) 8))))) 2) (+ (/ (min (+ (+ v4 v5) -50) (+ v5 (* (/ (- (/ (+ v5 (+ v4 6)) 8) (/ v5 8)) 8) 64))) 8) 5)))),true,(max (min v0 (+ (+ v1 (* 8 (/ (- v0 v1) 8))) 7)) (+ 2 (max (* (min v2 (+ 7 (+ v3 (* 8 (/ (- v2 v3) 8))))) 2) (+ (/ (min (+ (+ v4 v5) -50) (+ v5 (* (/ (- (/ (+ v5 (+ v4 6)) 8) (/ v5 8)) 8) 64))) 8) 5)))),-1,81,78355,10148,5.008417447999999,Time Limit : 5.00512255,,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v4 v5 ) 50 ) 8 ) ( + ( / v5 8 ) ( * ( / ( - ( / ( + ( + v4 v5 ) 6 ) 8 ) ( / v5 8 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ),34.0
5699,( / ( - ( + v0 v1 ) 64 ) 16 ),(+ (/ (+ v0 v1) 16) -4),true,(+ (/ (+ v0 v1) 16) -4),-1,5,24,0,0.000293895,Saturation,,( - ( / ( + v0 v1 ) 16 ) 4 ),3.0
5700,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),(max (+ 2 (* 2 (min v2 (+ (* 8 (/ (- v2 v3) 8)) (+ v3 7))))) (max (/ (+ (+ v0 v1) 2) 4) (min v4 (+ 7 (+ v5 (* 8 (/ (- v4 v5) 8))))))),true,(max (+ 2 (* 2 (min v2 (+ (* 8 (/ (- v2 v3) 8)) (+ v3 7))))) (max (/ (+ (+ v0 v1) 2) 4) (min v4 (+ 7 (+ v5 (* 8 (/ (- v4 v5) 8))))))),-1,93,109913,20380,5.009701639999999,Time Limit : 5.004000904,,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),38.0
5701,( + v0 1 ),(+ v0 1),true,(+ v0 1),-1,2,4,0,0.000115308,Saturation,,( + v0 1 ),3.0
5702,( min ( * ( / v0 128 ) 2 ) ( + ( * ( / v0 128 ) 2 ) 1 ) ),(* (/ v0 128) 2),true,(* (/ v0 128) 2),-1,48,30245,3421,5.025010547999999,Time Limit : 5.023702869,,( * ( / v0 128 ) 2 ),4.0
5703,( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) 1 ) 1 ),0,true,0,-1,38,513,4571,0.12860698499999995,Saturation,,0,17.0
