index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5116,( + ( - v0 v1 ) 1 ),(+ (- v0 v1) 1),true,(+ (- v0 v1) 1),-1,5,19,0,0.000378617,Saturation,,( + ( - v0 v1 ) 1 ),2.0
5117,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) 1 ) ( + ( * ( + 31 ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) ) 2 ) 1 ) ),"(+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 32)) 31))))",true,"(+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 32)) 31))))",-1,26,36411,2520,5.778384248,Time Limit : 5.775159177,,( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) 1 ),9.0
5118,( - ( / ( + v0 v1 ) 8 ) v2 ),(- (/ (+ v0 v1) 8) v2),true,(- (/ (+ v0 v1) 8) v2),-1,10,42,1,0.0011504520000000002,Saturation,,( - ( / ( + v0 v1 ) 8 ) v2 ),5.0
5119,( - ( max v0 0 ) ( max v1 0 ) ),(- (max v0 0) (max 0 v1)),true,(- (max v0 0) (max 0 v1)),-1,39,24461,4293,5.099697674999999,Time Limit : 5.098218835,,( - ( max v0 0 ) ( max v1 0 ) ),13.0
5120,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 4 ),(/ (/ (+ v0 (+ v1 1)) 2) 4),true,(/ (/ (+ v0 (+ v1 1)) 2) 4),-1,4,19,0,0.000310584,Saturation,,( / ( + ( + v0 v1 ) 1 ) 8 ),11.0
5121,( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ),(/ (+ (- v1 770) (min v0 770)) 128),true,(/ (+ (- v1 770) (min v0 770)) 128),-1,89,103672,12806,5.063046375999998,Time Limit : 5.055435837,,( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ),5.0
5122,( / v0 8 ),(/ v0 8),true,(/ v0 8),-1,1,3,0,0.000089642,Saturation,,( / v0 8 ),5.0
5123,( + v0 ( - ( + v1 v2 ) 1 ) ),(+ v0 (+ v1 (+ v2 -1))),true,(+ v0 (+ v1 (+ v2 -1))),-1,6,56,0,0.0005933000000000001,Saturation,,( - ( + ( + v1 v2 ) v0 ) 1 ),12.0
5124,( - ( / ( + ( - ( / ( + ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 6 ) 16 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 16 ) ) 8 ) 8 ) 1 ),(/ (+ (/ (+ (+ v4 v5) (+ (min (+ (* (+ v0 v1) 8) v2) (+ v3 1)) 6)) 16) (/ (+ v5 (min (+ v2 (* v1 8)) (+ v3 -7))) -16)) 8),true,(/ (+ (/ (+ (+ v4 v5) (+ (min (+ (* (+ v0 v1) 8) v2) (+ v3 1)) 6)) 16) (/ (+ v5 (min (+ v2 (* v1 8)) (+ v3 -7))) -16)) 8),-1,75,85438,24362,5.005744785000001,Time Limit : 5.000238199,,( / ( - ( / ( + ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 6 ) 16 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 16 ) ) 8 ),21.0
5125,( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ),(/ (+ (/ (+ v1 (min v0 8)) 4) (/ (+ (+ v0 v1) 10) -4)) -8),true,(/ (+ (/ (+ v1 (min v0 8)) 4) (/ (+ (+ v0 v1) 10) -4)) -8),-1,73,133202,14114,5.023473892,Time Limit : 5.010459078,,( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ),14.0
5126,( + 7 ( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ) ),v0,true,v0,-1,32,20589,7134,5.911937322,Time Limit : 5.9103437119999995,,( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ),14.0
5127,( min ( * ( + v0 v1 ) 8 ) ( - v2 8 ) ),(min (* (+ v0 v1) 8) (- v2 8)),true,(min (* (+ v0 v1) 8) (- v2 8)),-1,67,103127,4555,5.012497948000001,Time Limit : 5.005615286,,( min ( * ( + v1 v0 ) 8 ) ( - v2 8 ) ),14.0
