index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
27413,( != ( / ( + ( * v0 4 ) 71 ) 19 ) 0 ),1/0,false,(!= (/ (+ (* v0 4) 71) 19) 0),-1,1,13,0,0.00010520700000000001,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,451.0
27414,( < ( + ( / ( + v0 v1 ) 65 ) 1 ) ( / ( + ( + v0 1 ) v1 ) 65 ) ),1/0,true,0,-1,3,32,1,0.403108764,Goal 0 Matched,,false,56.0
27416,( >= ( * v0 4 ) ( - ( + ( * v0 4 ) 4 ) 1 ) ),1/0,true,0,-1,6,821,123,0.002771292,Goal 0 Matched,,false,20.0
27418,( != ( / ( + ( * v0 256 ) 1054 ) 621 ) 0 ),1/0,false,(!= (/ (+ (* v0 256) 1054) 621) 0),-1,1,13,0,0.00010393799999999999,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,423.0
27423,( == 0 ( - ( + 0 ( + ( * v0 2 ) 8 ) ) 1 ) ),1/0,true,0,-1,4,62,5,0.000515102,Goal 0 Matched,,false,26.0
27426,( == ( * ( / ( * ( max ( * v0 8 ) -4 ) -1 ) 4 ) 4 ) ( * ( max ( * v0 8 ) -4 ) -1 ) ),1/0,true,1,-1,7,639,472,0.00587983,Goal 1 Matched,,false,795.0
27429,( >= ( - ( + ( + v0 v1 ) v2 ) 5 ) ( + ( + ( + ( + ( - v0 1 ) v1 ) v2 ) 1 ) 1 ) ),1/0,true,0,-1,8,6288,2091,0.040331504000000004,Goal 0 Matched,,false,73.0
27432,( <= ( max ( + ( min ( min ( min ( / ( - ( - v2 ( + ( * v3 513 ) v4 ) ) 25 ) 57 ) ( / ( - ( - ( + v6 v5 ) ( + ( * v3 513 ) v4 ) ) 36 ) 57 ) ) ( / ( + ( - ( + v6 v5 ) ( + ( * v3 513 ) v4 ) ) 20 ) 57 ) ) ( - ( + 0 9 ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v5 ( + ( * v3 513 ) v4 ) ) 77 ) 57 ) 0 ) ( + 9 0 ) ) ) ( min ( max ( / ( + ( - v5 ( + ( * v3 513 ) v4 ) ) 77 ) 57 ) 0 ) ( + 9 0 ) ) ),1/0,false,(<= (min (+ (* -9 v3) (min (/ (+ (* -1 v4) (+ v2 -25)) 57) (+ (* 9 v3) 8))) (/ (min (+ (+ v5 (* -513 v3)) (+ (* -1 v4) (+ v6 -36))) (+ (+ v5 (* -513 v3)) (+ (* -1 v4) (+ v6 20)))) 57)) (+ (+ (* -9 v3) -1) (max (* 9 v3) (/ (+ (+ -77 v4) (* -1 v5)) -57)))),-1,8,17911,862,3.3174296309999995,Time Limit : 0.100166082,,false,2573.0
27437,( >= ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) v2 ) 1 ) 4 ) 32 ) 0 ) ( - ( + ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) v2 ) 1 ) 4 ) 32 ) 0 ) ( - ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 15 ) 4 ) v2 ) 1 ) 4 ) 32 ) 0 ) ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) v2 ) 1 ) 4 ) 32 ) 0 ) ) ) 1 ) ),1/0,false,(<= (min (/ (+ (* -1 v2) (/ (+ v0 (+ v1 19)) 4)) 4) 32) (max 1 (/ (+ (/ (+ v0 (+ v1 23)) -4) v2) -4))),-1,9,10726,1034,3.6031993629999994,Time Limit : 0.100321058,,false,2007.0
27439,( == ( + ( * ( max ( min v0 -8 ) -135 ) 2 ) 16 ) ( - ( + ( + ( * ( max ( min v0 -8 ) -135 ) 2 ) 16 ) ( - -14 ( * ( max ( min v0 -8 ) -135 ) 2 ) ) ) 1 ) ),1/0,true,0,-1,7,6139,1086,0.018631182,Goal 0 Matched,,false,109.0
27446,( != ( / ( + ( * v0 64 ) 355 ) 260 ) 0 ),1/0,false,(!= (/ (+ (* v0 64) 355) 260) 0),-1,1,13,0,0.000106183,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,532.0
27448,( != ( / ( + ( * v0 8 ) 1070 ) 1028 ) 0 ),1/0,false,(!= (/ (+ (* v0 8) 1070) 1028) 0),-1,1,13,0,0.00010286,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,467.0
27459,( == ( - ( * ( + ( max ( * v0 4 ) -1 ) ( + ( min ( * v1 12 ) 238 ) v2 ) ) 2 ) 407 ) ( - ( + ( - ( * ( + ( max ( * v0 4 ) -1 ) ( + ( min ( * v1 12 ) 238 ) v2 ) ) 2 ) 407 ) ( + ( * ( min ( * v0 4 ) -1 ) 2 ) 10 ) ) 1 ) ),1/0,true,0,-1,1,7,0,0.7065230289999999,Goal 0 Matched,,false,150.0
27465,( != ( / ( + ( * v0 128 ) 1297 ) 1116 ) 0 ),1/0,false,(!= (/ (+ (* v0 128) 1297) 1116) 0),-1,1,13,0,0.00010410500000000001,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,433.0
27470,( != ( / ( + v0 31 ) 20 ) 0 ),1/0,false,(!= (/ (+ v0 31) 20) 0),-1,1,10,0,0.000096308,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,,false,363.0
27471,( >= ( max ( - -1486 ( * v0 512 ) ) ( + ( * v0 512 ) 729 ) ) 0 ),1/0,false,(! (&& (< -3 v0) (< v0 0))),-1,6,717,117,0.0029131680000000003,Impossible (! (&& (< ?a ?x) (< ?x ?b))) Matched,,false,558.0
27475,( <= ( max 0 ( + ( min ( - 6 ( * ( % v0 2 ) 4 ) ) ( - ( + 0 4 ) 1 ) ) 1 ) ) 0 ),1/0,true,0,-1,4,35,0,0.142428616,Goal 0 Matched,,false,76.0
27478,( <= ( + ( max ( - ( / ( + ( min ( * v0 32 ) 968 ) v1 ) 32 ) ( + ( / ( + v1 159 ) 32 ) v0 ) ) 4 ) 6 ) 1024 ),1/0,true,1,-1,6,6815,1267,0.230087769,Goal 1 Matched,,false,892.0
27479,( >= ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) v2 ) 1 ) 4 ) 8 ) 0 ) ( - ( + ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) v2 ) 1 ) 4 ) 8 ) 0 ) ( - ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 127 ) 32 ) v2 ) 1 ) 4 ) 8 ) 0 ) ( max ( min ( / ( + ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) v2 ) 1 ) 4 ) 8 ) 0 ) ) ) 1 ) ),1/0,false,(<= (min -1 (/ (+ v2 (/ (+ v0 (+ v1 191)) -32)) 4)) (max (/ (+ v2 (/ (+ 159 (+ v0 v1)) -32)) 4) -8)),-1,11,17102,2170,3.6341525339999987,Time Limit : 0.108125633,,false,1924.0
27480,( == 0 ( - ( + 0 ( - 76 ( max ( min ( * v0 8 ) 76 ) 68 ) ) ) 1 ) ),1/0,true,0,-1,1,7,0,0.101363744,Goal 0 Matched,,false,76.0
27488,( == ( * ( / ( max ( min ( + ( * v2 -64 ) ( - ( max ( min ( + ( * v5 128 ) ( + ( min ( / v4 8 ) 0 ) ( * v6 128 ) ) ) 122 ) -127 ) ( max ( min ( max ( min ( / ( + ( + v3 v4 ) 7 ) 8 ) 376 ) 255 ) ( + ( + ( * v5 128 ) ( + ( min ( / v4 8 ) 0 ) ( * v6 128 ) ) ) 127 ) ) 127 ) ) ) -196 ) -260 ) 4 ) 4 ) ( max ( min ( + ( * v2 -64 ) ( - ( max ( min ( + ( * v5 128 ) ( + ( min ( / v4 8 ) 0 ) ( * v6 128 ) ) ) 122 ) -127 ) ( max ( min ( max ( min ( / ( + ( + v3 v4 ) 7 ) 8 ) 376 ) 255 ) ( + ( + ( * v5 128 ) ( + ( min ( / v4 8 ) 0 ) ( * v6 128 ) ) ) 127 ) ) 127 ) ) ) -196 ) -260 ) ),1/0,false,"(== 0 (""%"" (min 260 (max (+ (min (max 255 (/ (+ v4 (+ v3 7)) 8)) (+ (min 0 (/ v4 8)) (min (+ (* 128 v5) (+ (* 128 v6) 127)) (+ 376 (max 0 (/ v4 -8)))))) (+ (max -122 (min 127 (+ (max 0 (/ v4 -8)) (+ (* v5 -128) (* v6 -128))))) (* 64 v2))) (+ (+ 127 (* 64 v2)) (max (min 127 (+ (max 0 (/ v4 -8)) (+ (* v5 -128) (* v6 -128)))) (+ 69 (max (* -64 v2) -191)))))) 4))",-1,11,13152,1062,3.1356282889999996,Time Limit : 0.100474738,,false,3002.0
27505,( >= ( - 4 ( * ( + ( * v0 4 ) v1 ) 2 ) ) ( - 509 ( * ( + ( * v0 4 ) v1 ) 2 ) ) ),1/0,true,0,-1,7,2135,1407,0.010803645,Goal 0 Matched,,false,47.0
27507,( != ( + ( / v0 500 ) 1 ) 0 ),1/0,false,(!= (+ (/ v0 500) 1) 0),-1,1,12,0,0.000099959,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,,false,267.0
27511,( < ( + ( / ( + ( + ( min ( * v0 32 ) 93 ) v1 ) v2 ) 8 ) 1 ) ( / ( + ( + ( min ( * v0 32 ) 93 ) ( + v1 1 ) ) v2 ) 8 ) ),1/0,false,(< (/ (+ (min (* v0 32) 93) (+ v2 (+ v1 8))) 8) (/ (+ (min (* v0 32) 93) (+ v2 (+ v1 1))) 8)),-1,8,21460,724,3.1428195100000007,Time Limit : 0.100050789,,false,124.0
27513,( == 0 ( - ( + 0 ( - 63 ( * ( max ( min v0 21 ) 20 ) 3 ) ) ) 1 ) ),1/0,true,0,-1,4,153,4,0.0008078299999999999,Goal 0 Matched,,false,76.0
27516,( == ( * ( / ( * ( min ( * ( min ( + ( * v1 140 ) ( * ( / v2 63 ) 8 ) ) ( + ( * ( / ( + ( + v3 v2 ) 62 ) 63 ) 8 ) 19 ) ) 8 ) ( + ( * v1 1120 ) ( + ( * ( / v2 63 ) 64 ) 7 ) ) ) -1 ) 4 ) 4 ) ( * ( min ( * ( min ( + ( * v1 140 ) ( * ( / v2 63 ) 8 ) ) ( + ( * ( / ( + ( + v3 v2 ) 62 ) 63 ) 8 ) 19 ) ) 8 ) ( + ( * v1 1120 ) ( + ( * ( / v2 63 ) 64 ) 7 ) ) ) -1 ) ),1/0,true,1,-1,6,4116,1931,0.023345021999999997,Goal 1 Matched,,false,2089.0
27518,( == ( + ( * ( + ( / ( + v0 v1 ) 2 ) ( * v2 31 ) ) 2 ) 337 ) ( - ( + ( + ( * ( + ( / ( + v0 v1 ) 2 ) ( * v2 31 ) ) 2 ) 337 ) ( + ( * ( min v3 18 ) 2 ) 26 ) ) 1 ) ),1/0,true,0,-1,2,16,0,0.100987219,Goal 0 Matched,,false,128.0
27524,( == 0 ( - ( + 0 ( + ( * v0 16 ) 34 ) ) 1 ) ),1/0,true,0,-1,4,62,5,0.000516411,Goal 0 Matched,,false,33.0
27525,( <= ( max ( + ( min ( - ( + v1 v2 ) 1 ) ( - ( + ( * ( + v3 v4 ) 64 ) 9 ) 1 ) ) 1 ) ( min ( max v2 ( * ( + v3 v4 ) 64 ) ) ( + 9 ( * ( + v3 v4 ) 64 ) ) ) ) ( min ( max v2 ( * ( + v3 v4 ) 64 ) ) ( + 9 ( * ( + v3 v4 ) 64 ) ) ) ),1/0,false,(<= (min (+ (* 64 v3) (* 64 v4)) (+ v1 (+ v2 -9))) (+ (* 64 v4) (max (+ (+ v2 -9) (* v4 -64)) (+ (* 64 v3) -9)))),-1,8,15194,1824,3.2655603369999997,Time Limit : 0.100057851,,false,1438.0
